STUDY_ID	SAMPLE_ID	ASH1L	ASH2L	CAMKMT	DOT1L	EEF2KMT	ETFBKMT	EZH1	EZH2	EHMT2	EHMT1	N6AMT1	METTL21A	EEF1AKMT3	METTL21C	METTL22	EEF1AKMT2	CSKMT	EEF1AKNMT	VCPKMT	KMT2A	KMT2D	KMT2C	KMT2B	KMT2E	NSD1	NSD2	NSD3	PRDM1	PRDM2	MECOM	PRDM4	PRDM5	PRDM6	PRDM7	PRDM8	PRDM9	PRDM10	PRDM11	PRDM12	PRDM13	PRDM14	PRDM15	PRDM16	SETD1A	SETD1B	SETD2	SETD3	SETD4	SETD5	SETD6	SETD7	KMT5A	SETD9	SETDB1	SETDB2	SETMAR	SMYD1	SMYD2	SMYD3	SMYD4	SMYD5	SUV39H1	SUV39H2	KMT5B	KMT5C
brca_tcga_pub2015	TCGA-D8-A1XQ-01	1754.4987	1223.0411	124.2218	619.3918	362.8336	72.1288	531.8068	626.5474	1653.5242	1171.5206	121.3596	232.9875	477.7102	0	126.2254	747.4919	58.7134	1386.4758	147.9785	1729.0877	877.5814	2256.6011	820.6082	1619.1742	1219.6064	2257.746	786.8336	775.9571	1081.0733	53.8104	1203.5778	9.7317	12.0215	0.2862	26.9052	0	251.0197	25.1878	0.2862	0.2862	0	229.839	3.1485	845.7961	765.653	2161.0018	2040.5009	230.9839	2442.0751	402.9338	672.6297	925.9392	64.6869	4536.1002	459.9642	120.2147	2.0036	1398.7835	158.2826	360.3578	1087.0841	375.814	388.6941	1734.2397	194.347
brca_tcga_pub2015	TCGA-A2-A0D2-01	1107.6843	1472.1863	102.7536	549.2515	327.8433	15.8936	405.4703	1761.9664	2838.2924	991.314	143.4116	50.6376	286.8231	0	94.6221	672.5042	52.5189	815.0065	130.8446	1905.0083	1216.6106	1827.3887	1616.3371	2070.7743	1744.5943	2699.6858	1170.9481	312.6964	677.1392	194.7884	652.0052	17.7416	9.9797	0.3696	22.5467	2.5873	280.9093	16.2632	0.7392	0.7392	0	155.2393	6.6531	944.3726	653.8533	1430.4195	1121.0497	139.3458	2199.2238	168.4975	1546.4794	1209.7579	103.4929	1191.277	171.5025	196.2669	9.2404	1720.9388	351.8758	242.469	879.6895	869.3402	1013.1214	1334.319	256.1449
brca_tcga_pub2015	TCGA-EW-A1OV-01	1892.1466	545.3586	122.8903	677.7426	474.6994	46.9409	655.5907	555.9072	2453.5865	1611.8143	179.3249	241.0338	212.5527	0	167.1941	356.7563	134.0454	1096.519	144.5148	1844.4093	3042.5527	2521.6245	1331.7511	2862.6371	2864.4515	1974.6835	828.0591	700.4219	1032.7004	240.5063	898.2068	14.2405	13.1857	0	70.1477	0	222.0464	6.8565	2.1097	1.5823	0	247.3629	37.4473	1087.0253	1227.3207	1691.9831	1420.3586	325.9494	2238.3966	259.6414	1646.097	717.827	27.4262	1361.2869	282.7004	477.8481	0	212.5527	1344.9367	220.9916	616.5612	369.1983	360.2321	1104.4304	317.5105
brca_tcga_pub2015	TCGA-D8-A27F-01	4481.1721	1432.2856	73.3742	1827.0359	169.8653	10.8301	426.1659	1483.7287	2582.9876	933.8285	132.9399	185.7368	201.7113	0.5415	73.6449	394.5933	147.4279	2189.5829	79.8723	2572.699	2303.7975	3870.6909	3033.2506	2594.8926	3039.7486	2589.4857	1717.6597	467.5912	1183.4632	116.1532	524.9909	66.0638	20.3065	0	19.765	0	301.0778	74.4572	3.5198	38.9885	0	423.9999	8.1226	1277.9561	757.8388	1783.182	1394.3801	383.1161	4519.4161	473.3961	4149.0254	783.8311	74.9987	1140.4134	211.7292	810.365	27.3461	1759.085	119.1315	545.0266	653.0572	509.5579	623.0036	1388.965	95.576
brca_tcga_pub2015	TCGA-EW-A1P8-01	1876.9857	2402.8674	161.6487	721.1434	802.9785	34.767	356.9892	1105.7348	3915.0538	1116.129	265.233	174.1935	183.5125	0.3584	144.4444	276.3763	170.0143	1536.2007	77.4194	1670.2509	1168.6523	1741.5771	1620.7885	1304.2401	2475.2688	3236.2007	2016.4875	297.491	803.9427	89.2473	734.0502	3.9427	5.7348	0	11.1111	0	234.4086	21.147	2.1505	0.7168	0	315.7706	10.3943	756.6308	670.6093	1477.4194	1174.1935	244.8029	3617.2043	311.6595	1117.2043	865.9498	117.5627	2678.1362	158.7814	431.8996	7.5269	1396.0573	217.2043	237.6344	1044.086	582.7957	607.5269	1080.2867	429.0323
brca_tcga_pub2015	TCGA-D8-A27H-01	2819.6285	690.9184	41.0853	723.1019	286.5873	30.1292	433.7927	301.6349	1498.9301	690.9184	180.7755	287.255	283.4888	0	216.3828	200.5478	50.0419	1141.1453	67.4484	2145.6818	1818.4336	2440.4691	1669.7766	2717.8944	3338.1837	2081.3147	882.3076	469.7424	2350.0813	178.0365	845.6732	73.2689	42.1125	0.3424	24.3088	0	275.2718	56.4923	0.6848	6.5052	0	210.9047	18.146	877.5143	1363.6908	1472.2246	1582.8126	281.0922	3688.0938	225.0552	2922.8794	780.279	16.7765	620.3886	305.7434	830.2662	6.1628	2051.1855	255.4138	144.8258	546.435	207.1386	175.6398	1826.2433	87.3063
brca_tcga_pub2015	TCGA-A2-A0CM-01	4027.4189	1500.4038	71.5357	707.0359	653.2364	38.3062	554.7479	1112.7264	1934.2333	1316.2571	169.8396	119.0723	183.6852	0	158.3016	395.0294	52.3411	1714.0879	219.2223	1607.4766	2469.5373	450.4442	2379.1393	1630.0681	1906.5421	2427.1374	1781.9315	521.9799	1267.7974	149.9942	1142.2638	19.8454	41.9984	0	31.8449	0	233.991	7.3843	4.6152	0	0	500.75	13.8456	895.8117	1180.57	1758.8554	1179.1854	316.6032	3660.3208	375.3963	1891.3119	1733.4718	113.5341	2081.9199	191.9926	484.5967	2.3076	1526.249	81.2276	208.1458	807.6612	418.5993	464.7514	726.8951	129.2258
brca_tcga_pub2015	TCGA-EW-A1P4-01	1798.1891	1135.1557	144.2673	643.1283	326.7806	29.9924	273.3485	854.5938	2371.6781	1061.1238	310.9339	342.0653	194.7608	0	93.7737	151.1769	30.0228	1222.4753	105.5429	1518.6029	1604.6583	1659.0737	1647.6841	1158.4358	6208.0486	2876.9932	1328.0182	454.4419	1171.9818	421.792	733.8648	29.9924	25.0569	0	26.1959	0	184.5103	16.325	6.0744	134.776	0	299.5444	6.8337	1235.0038	623.7661	1747.9119	1167.8056	256.6439	1800.6834	375.9301	2570.9947	708.0486	87.3197	932.8018	315.1101	285.4973	2.2779	1397.1147	253.9863	302.202	564.9203	317.7677	376.9932	606.3022	206.53
brca_tcga_pub2015	TCGA-A2-A0D0-01	1257.3847	1113.6738	124.7941	585.6672	361.7957	23.0643	329.0774	856.6722	2815.0741	1112.0264	67.1334	246.7051	282.9489	0	135.9143	612.6318	82.5453	784.1845	55.6013	1845.14	1387.5618	1974.0527	1064.2504	1137.5618	2038.715	4364.0857	800.659	445.6343	454.2834	194.3987	1313.4267	14.4152	3.2949	0	3.2949	0	191.1038	14.827	11.5321	9.061	0	198.1054	11.944	946.8699	1198.9292	1671.7463	1649.5058	191.9275	1843.9044	532.71	632.2076	3059.3081	49.0115	2136.7381	82.7842	202.6359	8.2372	1735.173	542.0099	181.2191	1420.5107	714.9918	493.4102	1549.0115	186.5733
brca_tcga_pub2015	TCGA-D8-A27M-01	3250.5665	685.6527	72.6601	580.3479	268.7223	59.7291	592.6724	542.1798	1202.5862	1103.7562	297.7217	460.2833	353.4483	0.3079	116.9951	345.5788	32.3953	876.5394	92.0567	3144.3966	3248.1712	3688.7315	1530.7882	3890.3879	2689.6552	5002.7709	1120.3818	766.6256	1874.6921	188.4236	738.6084	36.0222	48.9532	0	51.1084	0	327.8941	34.4828	3.3867	16.9335	0	205.3571	23.0911	689.0394	754.3103	1914.101	1392.8571	184.1133	2466.4409	461.4224	3619.766	519.0887	147.1675	743.2266	441.1946	156.0961	2.7709	924.569	143.7808	254.6182	614.2241	194.5813	223.83	1354.3719	66.1946
